,From,To,Time,Value
0,0xb3441422492864027ba1e0cd16155e9fd7effd71,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-08-04T21:39:11Z,Swap
1,0x6dc82ac45e188b85c37a3815baebc5762a5fc289,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-08-04T21:40:05Z,Approval
2,0xb3441422492864027ba1e0cd16155e9fd7effd71,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-08-04T21:40:53Z,Swap
3,0xb3441422492864027ba1e0cd16155e9fd7effd71,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-08-04T21:42:49Z,Swap
4,0x0da33c591d7f27c1b27136882844544a1413e98c,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-08-04T21:45:03Z,RewardPaid
5,0xb3441422492864027ba1e0cd16155e9fd7effd71,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-08-04T21:46:27Z,Swap
6,0xb3441422492864027ba1e0cd16155e9fd7effd71,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-08-04T21:50:05Z,Swap
7,0x0da33c591d7f27c1b27136882844544a1413e98c,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-08-04T21:55:03Z,RewardPaid
8,0xb3441422492864027ba1e0cd16155e9fd7effd71,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-08-04T21:56:37Z,Swap
9,0xb3441422492864027ba1e0cd16155e9fd7effd71,0x9689c17ef2e3881954bd5e31ce2bdd8f8992d127,2022-08-04T21:57:33Z,Approval
10,0xb3441422492864027ba1e0cd16155e9fd7effd71,0x9689c17ef2e3881954bd5e31ce2bdd8f8992d127,2022-08-04T21:58:35Z,Approval
11,0x12e5ceb5c14f3a1a9971da154f6530c1cf7274ac,0x02a31e8098187124a28ffd159deacd584a69bd9b,2022-08-04T21:58:55Z,DODOFlashLoan
12,0x0da33c591d7f27c1b27136882844544a1413e98c,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,2022-08-04T22:00:07Z,Approval
13,0x0da33c591d7f27c1b27136882844544a1413e98c,0x7e506cc945b47ed08ac2d985f61b47ce4068823c,2022-08-04T22:05:05Z,RewardPaid
